Service_Name,Service_URL,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service_type
Hunger Programs - Senior Citizen Boxes (Feast of Justice),https://www.auntbertha.com//feast-of-justice--philadelphia-pa--hunger-programs---senior-citizen-boxes/4899393198620672?postal=19112,['food pantry'],['food pantry'],"['anyone in need', 'all ages']",215-268-3510,http://www.feastofjustice.org,"3101 Tyson Avenue, Philadelphia, PA 19149","https://www.google.com/maps/?q=3101+Tyson+Avenue,+Philadelphia,+PA+19149/","['This program serves individuals living in one of these zip codes: 19111, 19114, 19115, 19116, 19124, 19135, 19136, 19149, 19152, 19154']",available,"Senior Citizen Boxes program offers plentiful programs to combat hunger in the community.This program provides:- A community cupboard, which provides families with emergency, supplemental food every month.Once you apply, it takes 1 to 2 months for your name to appear on the list.",['English'],Free,Yes,https://www.facebook.com/FeastOfJusticePhiladelphia/?view_public_for=170475529821804,,"This program covers residents of the following counties: Bucks County, PA, Chester County, PA, Delaware County, PA, Montgomery County, PA and Philadelphia County, PA.",40.0372113,-75.052399,19149,No,Closed,9:00AM - 12:00PM,10:00AM - 7:00PM,10:00AM - 12:00PM,10:00AM - 4:00PM,Closed,Closed,4.6,Food
Food Pantry (Episcopal Community Services),https://www.auntbertha.com//episcopal-community-services-%2528ecs%2529--philadelphia-pa--food-pantry/5643194546257920?postal=19112,"['emergency food', 'food pantry']","['emergency food', 'food pantry']","['anyone in need', 'all ages', 'individuals', 'families']",215-528-5400,https://ecsphilly.org/st-barnabas/,"6006 West Girard Avenue, Philadelphia, PA 19151","https://www.google.com/maps/?q=6006+West+Girard+Avenue,+Philadelphia,+PA+19151/",['Must reside in the Carroll Park West Philadelphia neighborhood.'],available,"Episcopal Community Services (ECS) offers a open choice food pantry to families and individuals who simply have fallen on hard times or recently unemployed and need assistance to make ends meet. Families receive bags of dry, canned, and jarred goods.This program provides:- Food to meet basic nutritional needsBecause supplies are limited, families can utilize the cupboard only once per month.",['English'],Free,Yes,https://www.facebook.com/ECSPhilly/,https://www.twitter.com/@ECSPhilly,"This program covers residents of the following cities: Philadelphia, PA.",39.9696013,-75.23993,19151,No,Closed,10:00 - 11:30AM,10:00 - 11:30AM,10:00 - 11:30AM,Closed,Closed,Closed,4.7,Food
Food Pantry (St Michaels Lutheran Church - Kensington),https://www.auntbertha.com//st-michaels-lutheran-church---kensington--philadelphia-pa--food-pantry/5012206950547456?postal=19112,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-423-0792,https://www.ourlutherancommunity.org/,"2139 E Cumberland St, Philadelphia, PA 19125",https://www.google.com/maps/place/St+Michael's+Lutheran+Church+ELCA-Kensington,['Anyone in need can access this program.'],available,St. Michael's Food Pantry Ministry is dedicated to stepping up efforts to address food insecurity.  This program provides:- Food distribution to meet basic nutritional needs.Please call for more details. St. Michael's Food Pantry serves 20-40 families each week.,['English'],Free,Yes,https://www.facebook.com/stmichaelskensington/,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9696301,-75.242527,19151,No,Closed,Closed,Closed,11:00AM - 12:00PM,Closed,Closed,Closed,4.7,Food
Food Pantry (Parkside Association of Philadelphia),https://www.auntbertha.com//parkside-association-of-philadelphia--philadelphia-pa--food-pantry/6699696089858048?postal=19112,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-877-1198,http://www.parksideassociation.org,"5070 Parkside Avenue, Philadelphia, PA 19131","https://www.google.com/maps/?q=5070+Parkside+Avenue,+Philadelphia,+PA+19131/",['Anyone in need can access this program.'],available,Parkside Association of Philadelphia hosts a food pantry within their office for anyone in need throughout the community to visit. This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,None,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9796583,-75.221242,19131,No,8:30AM - 4:00PM,8:30AM - 4:00PM,8:30AM - 4:00PM,8:30AM - 4:00PM,8:30AM - 1:00PM,Closed,Closed,4.5,Food
Food Pantry (St. Paul Metropolitan A.M.E. Church),https://www.auntbertha.com//st.-paul-metropolitan-a.m.e.-church--philadelphia-pa--food-pantry/5184746006904832?postal=19118,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-365-3330,http://www.spmame.org/,"8398 Lindbergh Boulevard, Philadelphia, PA 19153","https://www.google.com/maps/?q=8398+Lindbergh+Boulevard,+Philadelphia,+PA+19153/",['Anyone can access this program.'],available,St. Paul Metropolitan A.M.E. Church provides a food pantry for members of their community. The food pantry serves close to 100 families each Thursday.This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,None,None,"This program covers residents of the following cities: Philadelphia, PA.",39.8977253,-75.251502,19153,No,Closed,Closed,Closed,8:00AM - 5:00PM,Closed,Closed,Closed,4.7,Food
Food Pantry (Church of the Holy Apostles and the Mediator),https://www.auntbertha.com//church-of-the-holy-apostles-and-the-mediator--philadelphia-pa--food-pantry/6220814712832000?postal=19118,['food pantry'],['food pantry'],"['all ages', 'individuals', 'families']",267-908-3287,https://www.hamphilly.org/copy-of-ministries,"260 South 51st Street, Philadelphia, PA 19139","https://www.google.com/maps/?q=260+South+51st+Street,+Philadelphia,+PA+19139/",['This program serves individuals and families who are facing food insecurity.'],available,The Community Food Ministry distributes food monthly to community members in need. This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9548575,-75.224341,19139,No,Closed,Closed,10:30AM - 12:00PM,Closed,Closed,Closed,Closed,4.4,Food
Food Pantry (Second Baptist Church of Frankford),https://www.auntbertha.com//second-baptist-church-of-frankford--philadelphia-pa--food-pantry/5609280872120320?postal=19118,['food pantry'],['spiritual support'],"['all ages', 'individuals', 'families']",215-533-6222,http://www.mysbcfrankford.org/about.html,"1801 Meadow Street, Philadelphia, PA 19124","https://www.google.com/maps/?q=1801+Meadow+Street,+Philadelphia,+PA+19124/",['Anyone can access this program.'],available,"Second Baptist Church of Frankford's food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsCall for details on eligibility, hours, and days to get service.",['English'],Free,Yes,https://www.facebook.com/mysbcfrankford/,None,"This program covers residents of the following cities: Philadelphia, PA.",40.0136253,-75.079959,19124,No,Closed,10:00AM - 2:00PM,Closed,10:00AM - 2:00PM,Closed,Closed,10:45AM - 1:45PM,4.7,Food
Human Services (African Family Health Organization),https://www.auntbertha.com//african-family-health-organization-%2528afaho%2529--philadelphia-pa--human-services/5355967947210752?postal=19118,"['temporary shelter', 'food pantry', 'mental health care', 'navigating the system', 'case management']","['temporary shelter', 'food pantry', 'mental health care', 'navigating the system', 'case management']","['all ages', 'immigrants', 'refugees', 'individuals', 'families']",215-546-1232,http://afaho.org/human-services/,"2420 South 45th Street, Philadelphia, PA 19143","https://www.google.com/maps/?q=2420+South+45th+Street,+Philadelphia,+PA+19143/",['This program serves African and Caribbean immigrants/refugees.'],available,"Multi-lingual and bi-cultural case managers assist clients in mitigating the myriad of barriers they face in accessing critical health and social services which play a vital role in their successful integration, improved health, and ability to be self-sufficient. This program provides:- Behavioral health - Domestic violence awareness and support- Housing assistance and monthly food assistance- Elders' programming- Individual case management- Family case management","['Arabic', 'English', 'French', 'Kinyarwanda', 'Swahili', 'Yoruba']",Free,Yes,https://www.facebook.com/The-Salvation-Army-Nampa-Idaho-208522825852957/,https://www.twitter.com/@AFAHO,"This program covers residents of the following cities: Philadelphia, PA.",39.9454475,-75.208596,19143,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,0,Food
Food Pantry (Crusaders for Christ Church),https://www.auntbertha.com//crusaders-for-christ-church--philadelphia-pa--food-pantry/5683489540931584?postal=19118,['food pantry'],['food pantry'],"['all ages', 'individuals', 'families']",215-387-3014,https://crusadersforchristpa.org/,"1201 South 47th Street, Philadelphia, PA 19143","https://www.google.com/maps/?q=1201+South+47th+Street,+Philadelphia,+PA+19143/",['Anyone can access this program.'],available,Crusaders for Christ Church provides supplemental groceries to individuals and families in need of assistance in our community. This program provides:- Food to meet basic nutritional needsPlease contact this provider to see when the pantry is available.,['English'],Free,Yes,https://www.facebook.com/MyCFC1/,https://www.twitter.com/@CFC_PA1,"This program covers residents of the following cities: Philadelphia, PA.",39.9448797,-75.212219,19143,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.3,Food
Supportive Services (The Attic Youth Center),https://www.auntbertha.com//the-attic-youth-center--philadelphia-pa--supportive-services/6051122713985024?postal=19118,"['food pantry', 'meals', 'health education', 'sex education', 'computer or internet access', 'case management', 'one-on-one support', 'support groups', 'more education', 'tutoring', 'skills & training']","['food pantry', 'meals', 'health education', 'sex education', 'computer or internet access', 'case management', 'one-on-one support', 'support groups', 'more education', 'tutoring', 'skills & training']","['young adults', 'teens', 'infectious disease', 'hiv/aids', 'individuals', 'lgbtqia+']",215-545-4331,https://atticyouthcenter.org/supportive-services/,"255 South 16th Street, Philadelphia, PA 19102","https://www.google.com/maps/?q=255+South+16th+Street,+Philadelphia,+PA+19102/",['This program helps people who are 14 to 23 years old.'],available,"The Attic Youth Center offers Supportive Services to assist LGBTQ youth in building the skills necessary to succeed in school, their jobs or careers, and the community.This program provides:- Meals- Food pantry- Safer sex supplies- One-on-one support- Support groups- Tutoring- Case management- Internship opportunities- Computer and wifi access",['English'],Free,Yes,https://www.facebook.com/pages/The-Attic-Youth-Center/101066143279182,None,"This program covers residents of the following counties: Montgomery County, PA and Philadelphia County, PA.",39.9477596,-75.167854,19102,No,10:00AM - 6:00PM,11:00AM - 7:00PM,11:00AM - 7:00PM,11:00AM - 7:00PM,11:00AM - 7:00PM,Closed,Closed,4.6,Food
Food Cupboard (The Church of St. Andrew and St. Monica),https://www.auntbertha.com//the-church-of-st.-andrew-%2526-st.-monica--philadelphia-pa--food-cupboard/6520871286734848?postal=19127,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-222-7606,http://www.ssandrewmonica.org/ministries.html,"3600 Baring Street, Philadelphia, PA 19104","https://www.google.com/maps/?q=3600+Baring+Street,+Philadelphia,+PA+19104/",['Anyone can access this program.'],available,The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,https://www.facebook.com/ssandrewmonica/?rf=117087431642346,https://www.twitter.com/@ssAndrewMonica,"This program covers residents of the following counties: Philadelphia County, PA.",39.960617,-75.194345,19104,No,Closed,Closed,Closed,Closed,Closed,9:30 - 11:00AM,Closed,4.7,Food
Helping Hands For The Hungry (Saint Cyprian Church),https://www.auntbertha.com//st.-cyprian-church--philadelphia-pa--helping-hands-for-the-hungry/5375543808360448?postal=19127,"['food pantry', 'meals', 'clothing', 'spiritual support']","['food pantry', 'meals', 'clothing', 'spiritual support']","['anyone in need', 'all ages', 'individuals', 'families']",215-747-3250,https://saintcyprianchurch.org/hope-ministries/,"525 Cobbs Creek Parkway, Philadelphia, PA 19143","https://www.google.com/maps/?q=525+Cobbs+Creek+Parkway,+Philadelphia,+PA+19143/",['Anyone can access this program.'],available,"Helping Hands for the Hungry is a ministry that serves the needy on the last Saturday of each month. Our volunteers provide a delicious hot meal, food bags, clothing, but most importantly prayer and Godâ€™s Word.This program provides:- Meals- Food pantry- Clothing",['English'],Free,Yes,https://www.facebook.com/StCyprianPhilly/,https://www.twitter.com/@StCyprianPhilly,"This program covers residents of the following counties: Philadelphia County, PA.",39.9539798,-75.248341,19143,No,9:30 - 11:15AM,Closed,9:30 - 11:15AM,Closed,Closed,Closed,Closed,3.3,Food
